Designator,Mid X,Mid Y,Rotation,Layer
C1,144.5,-85.0,90.0,top
C10,145.5,-69.55,270.0,top
C2,128.45,-77.5,0.0,top
C3,128.55,-71.0,0.0,top
C4,141.0,-71.0,180.0,top
C5,144.55,-76.0,0.0,top
C6,117.45,-77.51,0.0,top
C7,117.45,-74.5,0.0,top
C8,117.45,-80.52,0.0,top
C9,117.45,-83.53,0.0,top
J1,115.09,-90.5,90.0,top
J2,110.0,-80.04,270.0,top
J3,110.0,-68.0,270.0,top
J4,110.0,-57.27,270.0,top
R1,142.5,-81.0,270.0,top
R11,130.0,-66.5,0.0,top
R2,138.5,-88.0,180.0,top
R3,128.5,-86.5,90.0,top
R4,128.5,-74.5,0.0,top
R5,144.5,-73.5,180.0,top
R6,146.5,-79.0,0.0,top
R7,134.5,-66.5,0.0,top
R8,139.5,-66.5,0.0,top
R9,147.0,-66.5,180.0,top
RV1,140.6,-92.5,90.0,top
U1,136.525,-81.405,270.0,top
U2,138.5,-60.54,0.0,top
U3,136.43,-74.75,270.0,top
